timestamp_ms,iso,currentTime_s,duration_s,paused,playbackRate,readyState,videoWidth,videoHeight,totalVideoFrames,droppedVideoFrames,buffered_start_s,buffered_end_s,buffered_seconds,debug_text
"1765426832259","2025-12-11T04:20:32.259Z","120.983183","3152.524375","false","1","4","960","540","2906","0","108.85875","151.609791","30.626608000000004",
"1765426833258","2025-12-11T04:20:33.258Z","121.982623","3152.524375","false","1","4","960","540","2930","0","108.85875","153.727999","31.745376000000007",
"1765426834258","2025-12-11T04:20:34.258Z","122.98246","3152.524375","false","1","4","960","540","2954","0","108.85875","153.727999","30.745539000000008",
"1765426835259","2025-12-11T04:20:35.259Z","123.983433","3152.524375","false","1","4","960","540","2978","0","108.85875","155.530374","31.54694099999999",
"1765426836259","2025-12-11T04:20:36.259Z","124.983525","3152.524375","false","1","4","960","540","3002","0","108.85875","157.115291","32.13176600000001",
"1765426837258","2025-12-11T04:20:37.258Z","125.983068","3152.524375","false","1","4","960","540","3025","0","108.85875","157.115291","31.13222300000001",
"1765426838258","2025-12-11T04:20:38.258Z","126.982914","3152.524375","false","1","4","960","540","3049","0","108.85875","158.378666","31.395752000000016",
"1765426839259","2025-12-11T04:20:39.259Z","127.983333","3152.524375","false","1","4","960","540","3073","0","117.575791","160.076583","32.09325",
"1765426840259","2025-12-11T04:20:40.259Z","128.983551","3152.524375","false","1","4","960","540","3097","0","117.575791","160.076583","31.093031999999994",
"1765426841258","2025-12-11T04:20:41.258Z","129.982726","3152.524375","false","1","4","960","540","3121","0","117.575791","160.827333","30.844606999999996",
"1765426842258","2025-12-11T04:20:42.258Z","130.982837","3152.524375","false","1","4","960","540","3145","0","117.575791","162.245416","31.262579000000017",
"1765426843258","2025-12-11T04:20:43.258Z","131.982762","3152.524375","false","1","4","960","540","3169","0","121.770666","163.114666","31.13190399999999",
"1765426844258","2025-12-11T04:20:44.258Z","132.982881","3152.524375","false","1","4","1280","720","3193","0","121.788333","166.082583","33.09970200000001",
"1765426845259","2025-12-11T04:20:45.259Z","133.983155","3152.524375","false","1","4","1280","720","3217","0","123.331541","166.082583","32.09942799999999",
"1765426846258","2025-12-11T04:20:46.258Z","134.982904","3152.524375","false","1","4","1280","720","3241","0","124.082291","166.082583","31.09967900000001",
"1765426847259","2025-12-11T04:20:47.259Z","135.983491","3152.524375","false","1","4","1280","720","3265","0","124.082291","166.916749","30.933258000000023",
"1765426848259","2025-12-11T04:20:48.259Z","136.983341","3152.524375","false","1","4","1280","720","3289","0","126.209416","168.751916","31.768575",
"1765426849258","2025-12-11T04:20:49.258Z","137.982897","3152.524375","false","1","4","1280","720","3313","0","127.669208","170.545374","32.562477",
"1765426850258","2025-12-11T04:20:50.258Z","138.983039","3152.524375","false","1","4","1280","720","3337","0","127.669208","170.545374","31.56233500000002",
"1765426851259","2025-12-11T04:20:51.259Z","139.983587","3152.524375","false","1","4","1280","720","3361","0","128.962166","171.254416","31.270828999999992",
"1765426852259","2025-12-11T04:20:52.259Z","140.983357","3152.524375","false","1","4","1280","720","3385","0","129.87975","171.989333","31.005975999999976",
